Designator,Mid X,Mid Y,Layer,Rotation
C1,22.00,16.00,Top,90.000
C2,21.25,3.50,Top,270.000
C3,18.00,15.50,Top,90.000
C4,19.75,3.50,Top,270.000
C5,15.25,11.25,Top,180.000
C6,20.00,16.00,Top,90.000
C7,15.25,8.25,Top,180.000
C8,25.00,10.25,Top,90.000
C9,26.00,10.25,Top,90.000
C10,17.00,15.50,Top,90.000
C11,22.75,3.50,Top,270.000
C12,15.25,9.75,Top,180.000
C13,30.50,3.75,Top,270.000
C14,25.00,3.75,Top,90.000
C15,37.75,32.00,Top,0.000
C16,31.00,6.25,Top,180.000
C17,30.00,13.25,Top,180.000
C18,27.25,10.50,Top,90.000
C19,28.00,21.00,Top,270.000
C20,25.00,21.75,Top,180.000
C21,24.00,19.00,Top,90.000
C23,37.00,20.75,Top,90.000
C24,34.00,18.25,Top,90.000
C25,21.00,30.75,Top,180.000
C26,15.25,37.50,Top,90.000
C27,24.50,34.00,Top,0.000
C28,8.50,39.00,Top,180.000
C29,11.25,21.00,Top,180.000
D1,13.25,8.25,Top,270.000
D2,13.25,11.25,Top,270.000
D3,40.90,18.50,Top,270.000
D4,0.85,22.50,Top,90.000
D5,40.90,34.25,Top,270.000
FB1,33.50,3.75,Top,180.000
FB2,25.75,18.75,Top,270.000
FB3,24.50,35.25,Top,180.000
FB4,8.50,37.75,Top,0.000
J1,3.25,11.50,Top,0.000
J2,40.50,8.50,Top,90.000
J4,1.50,33.00,Top,270.000
L1,31.30,18.25,Top,270.000
R1,14.50,18.25,Top,270.000
R2,18.75,19.50,Top,270.000
R3,20.25,19.50,Top,270.000
R4,21.75,19.50,Top,270.000
R5,27.25,7.25,Top,0.000
R6,39.50,29.25,Top,180.000
R7,39.50,27.75,Top,180.000
R8,39.50,26.25,Top,180.000
R9,33.52,5.75,Top,270.000
R10,33.50,11.25,Top,270.000
R11,38.75,22.00,Top,90.000
R12,36.75,23.75,Top,90.000
R13,34.75,24.00,Top,180.000
R14,39.25,17.75,Top,270.000
R15,3.00,23.75,Top,180.000
R16,8.75,30.25,Top,90.000
R17,8.50,35.75,Top,90.000
R18,37.50,34.25,Top,0.000
U1,20.50,9.50,Top,270.000
U2,13.67,14.30,Top,180.000
U3,34.25,28.50,Top,90.000
U4,30.00,10.75,Top,180.000
U5,32.75,8.50,Top,360.000
U6,26.25,27.00,Top,270.000
U7,34.00,21.75,Top,0.000
U8,18.75,34.50,Top,180.000
U9,10.75,32.50,Top,180.000
Y1,27.75,4.00,Top,180.000
